财务分类,项目编码,项目名称,项目内涵,除外内容,计价单位,说明,一档价格,二档价格,三档价格,四档价格
,1,一、综合医疗服务类,,,,"1.本类包括一般医疗服务、一般检查治疗、社区卫生及预防保健项目和其它医疗服务项目，本类编码为100000000。
2.有下列情况之一者不另收诊查费：①由医生指定在医院内换号诊断；②取化验及各种检查结果；③病人一次门诊医生开多张处方，多种检查，多次治疗单，检查治疗科室不得要求病人另交纳诊查费。
3.多科室共同使用的医疗服务项目列入本类之中，如护理、抢救、注射、换药等等。
4.患者结算时，门诊医药费用清单和住院病人医药费用明细清单不得另外收费。
5.门诊拆线不得另收诊查费。
6.门诊患者因病情需要，在院外使用的一次性材料（碘伏帽、胰岛素注射针头、造瘘管、造口袋、鼻饲管、导尿管、尿袋）可以外带并收费。",,,,
E,1103,3.急诊监护费,,,,,,,,
H,111100003S,药物基因多态性检测,指用各种方法检测，包括但不仅限于：CYP2C9、CYP2C19、CYP2D6、CYP3A4、VKORC1、SLCO1B1、ApoE、 MTHFR、ALDH2、ADRB1、AGTR1、ACE等归属于化学药物用药指导的相关基因。出具用药建议报告。仅限于非全基因组测序。,,每位点,计价最高不超过7个位点。,300.0 ,285.0 ,270.0 ,240.0 
,12,(二)一般检查治疗,,,,,,,,
F,120100011E,吸痰护理,含叩背、吸痰；不含雾化吸入。,,次,每日收费不超过24次。,8.0 ,7.8 ,7.6 ,7.2 
E,120100015E,机械辅助排痰,指无力自主排痰的机械振动辅助治疗。,,次,每天收费不超过3次。,13.0 ,12.4 ,11.7 ,10.4 
,1203,3.氧气吸入,,,,,,,,
E,120300001,氧气吸入,,一次性鼻导管、鼻塞、面罩,小时,,,,,
E,120300001-1,低流量给氧,,一次性鼻导管、鼻塞、面罩,小时,,4.0 ,4.0 ,4.0 ,4.0 
E,120300001-2,中流量给氧,,一次性鼻导管、鼻塞、面罩,小时,,5.0 ,5.0 ,5.0 ,5.0 
E,120300001-3,高流量给氧,,一次性鼻导管、鼻塞、面罩,小时,,6.0 ,6.0 ,6.0 ,6.0 
E,120300001-4,氧气创面治疗,,一次性鼻导管、鼻塞、面罩,小时,,6.0 ,6.0 ,6.0 ,6.0 
E,120300001-5,加压给氧加收,,,小时,,5.0 ,5.0 ,5.0 ,5.0 
E,120300002S,高流量氧疗,指使用空氧混合装置持续为患者提供一定流量（>30L/min）、加温湿化的呼吸气体，对氧合指数<300mmHg的重症患者进行治疗。,呼吸管路、导管、面罩、接头,小时,不得与310603 辅助呼吸类项目同时收费。,13,13,13,13
E,1204,4.注射,含用药指导与观察、药物的配置。,胰岛素专用注射器、留置导管、化疗泵、胰岛素专用针头。,,,,,,
E,120400000-1,注射加收(使用微量泵或输液泵),,,每小时/组,,1.2 ,1.2 ,1.2 ,1.2 
E,120400001E,肌肉注射,,,次,,4.0 ,4.0 ,4.0 ,4.0 
E,120400001-1E,皮下注射,,,次,,4.0 ,4.0 ,4.0 ,4.0 
E,120400001-2E,皮内注射,,,次,,4.0 ,4.0 ,4.0 ,4.0 
E,120400002E,静脉注射,,,次,,5.4 ,5.4 ,5.4 ,5.4 
E,120400002-1E,静脉采血,,,次,,5.9 ,5.7 ,5.6 ,5.3 
G,120400003E,心内注射,,,次,,10.5 ,10.0 ,9.5 ,8.5 
E,120400004E,动脉加压注射,,,次,,12.5 ,11.9 ,11.3 ,10.1 
E,120400004-1E,动脉采血,,,次,,21.9 ,21.3 ,20.7 ,19.5 
E,120400005,皮下输液,,,次,,暂不定价,暂不定价,暂不定价,暂不定价
E,120400006,静脉输液,指从核对、配药、穿刺、滴注、中途接瓶（袋）至拔针（留置针分离）结束的服务全过程。,,组,,,,,
E,120400006-1E,住院静脉输液,,,组,,13.8 ,13.4 ,13.0 ,12.2 
E,120400006-1/1E,住院输血,,,组,,9.3 ,8.9 ,8.6 ,7.9 
E,120400006-2E,门诊静脉输液,,,组,,21.8 ,21.0 ,20.2 ,18.6 
E,120400006-2/1E,门诊输血,,,组,,16.3 ,15.6 ,14.9 ,13.5 
E,120400006-3E,静脉连续输液(第二组及以上),,,组,,1.9 ,1.9 ,1.8 ,1.7 
E,120400006-4E,持续化学药物治疗,指电脑控制多种药物时辰化疗。,,日,,278.5 ,264.7 ,250.9 ,223.3 
E,120400006-5,骨髓腔内输液,指骨髓腔内的输液、输血，不含骨髓穿刺。,,组,,168.0 ,160.0 ,151.0 ,134.0 
E,120400007,小儿头皮静脉输液,,,组,,18.8 ,18.1 ,17.5 ,16.2 
E,120400007-1,小儿头皮静脉连续输液(第二组及以上),,,组,,1.9 ,1.9 ,1.8 ,1.7 
E,120400008E,肠内营养液配置,,营养袋,瓶/袋,,4.0 ,3.8 ,3.6 ,3.2 
G,120400009E,静脉切开置管术,,,次,,70.0 ,66.5 ,63.0 ,56.0 
E,120400010E,静脉穿刺置管术,指使用PICC导管进行的外周静脉穿刺。,导管、血管鞘,次,,42.0 ,39.9 ,37.8 ,33.6 
E,120400011,中心静脉穿刺置管术,,中心静脉套件、测压套件、透明敷贴,,,,,,
E,120400011-1E,中心静脉穿刺置管术,,中心静脉套件、测压套件、透明敷贴,次,,70.0 ,66.5 ,63.0 ,56.0 
E,120400011-2E,中心静脉测压,,,次,,7.0 ,6.7 ,6.3 ,5.6 
E,120400011-3E,深静脉穿刺置管术,,中心静脉套件、测压套件、透明敷贴,次,,70.0 ,66.5 ,63.0 ,56.0 
G,120400012E,动脉穿刺置管术,,,次,,135.0 ,128.0 ,122.0 ,108.0 
E,120400013,化学药物配置,,,组,,,,,
E,120400013-1E,抗肿瘤化学药物配置,指在符合静脉药物集中配置管理规定、有严格消毒隔离措施的中心配置间或普通药物配置间进行抗肿瘤化学药物配置。,,组,,18.7 ,17.8 ,16.9 ,15.1 
E,120400013-2E,全静脉营养液配置,指在符合静脉营养药物配置管理规定，有严格消毒隔离措施的中心配置间或普通药物配制间里进行全静脉营养液配置。,营养袋,组,,18.7 ,17.8 ,16.9 ,15.1 
E,120400013-3E,其他静脉药物配置,指在符合静脉药物集中配置管理规定、有严格消毒隔离措施的中心配置间里进行静脉药物配置。,,组,,4.7 ,4.5 ,4.3 ,3.9 
E,120400014S,百级静脉用药药物调配,指在超净配药装置内创建局部密闭百级洁净环境，使用无菌溶药器进行配药。含一次性使用无菌无芯杆溶药器带针。,,组,,18.9 ,18.0 ,17.0 ,15.1 
,1205,5.清创缝合,,,,含敷料。,,,,
E,120500001E,清创缝合(大),,,次,缝合11针以上。,270.0 ,256.5 ,243.0 ,216.0 
E,120500001-1E,术后创口二期缝合术(大),,,次,缝合11针以上。,270.0 ,256.5 ,243.0 ,216.0 
E,120500001-2E,清创不缝合(大),,,次,伤口长度大于10厘米。,135.0 ,128.3 ,121.5 ,108.0 
